"lt_convenio_train.id","lt_convenio_train.antig_anos","lt_convenio_train.horas","lt_convenio_train.sueldo_diario_integrado","lt_convenio_train.tipo_de_abogado","lt_convenio_train.trab_base","lt_convenio_train.gen","lt_convenio_train.reinstalacion_t","lt_convenio_train.indem_const_t","lt_convenio_train.sal_caidos_t","lt_convenio_train.rec_hr_extra","lt_convenio_train.rec_20_d_ias_t","lt_convenio_train.sarimssinfo","lt_convenio_train.cod_imss","lt_convenio_train.y"
1330,-0.683876030389699,0.127308610644889,-0.0259483645858575,"0","0","0","1","1","1","1","1","1","0",11000
1484,-0.602179237429116,2.01348447619422,-0.391999547290729,"0","0","0","0","1","1","1","0","0","0",10000
451,-0.625780533173284,0.363080593838555,-0.576519007338068,"0","0","1","0","1","1","1","0","1","0",8500
2164,-0.243318509831887,2.56361910364611,-0.589960014702677,"0","0","0","0","1","1","1","0","0","0",1500
22,-0.314122397064393,-1.05155130532344,-0.399415538311859,"0","0","0","1","0","1","0","0","1","1",12000
1936,-0.714134101856582,-0.815779322129776,-0.29004300886353,"0","0","0","0","1","1","1","0","1","0",13500
161,-0.567079874527532,-0.815779322129776,-0.815057826442205,"0","0","1","0","1","1","0","0","1","1",5800
2145,-0.611861820298518,0.127308610644889,0.454223715919002,"0","1","0","1","0","1","1","0","1","0",75000
1278,-0.219112052658381,1.46334984874233,-0.461660067266193,"0","0","0","1","1","1","1","0","0","0",9820
936,-0.761941854774256,-0.560359673669971,0.593500295492106,"0","1","0","0","1","1","0","0","0","0",10000
1836,-0.0145674895422541,-0.344235355742444,-0.566088602700435,"1","0","0","0","1","1","0","0","0","0",10500
86,-0.485383081566949,-1.32661861904939,-0.574224851842323,"0","0","0","0","1","1","0","0","1","1",11000
1319,-0.132573968263097,-0.737188661065221,-0.0663183876505253,"0","0","0","0","1","1","1","0","1","0",15000
181,-0.0617700810305912,-0.58000733893611,-0.599487238522217,"0","0","1","1","0","1","1","0","1","1",12500
2209,3.63879205936916,1.07039654341955,-0.788443844276444,"0","0","0","0","1","1","0","1","0","0",35000
2233,-0.336513369949886,0.598852577032221,0.178578265482518,"0","0","0","0","1","1","1","0","1","0",19000
1121,0.0162957433539661,-0.344235355742444,-0.527274692859626,"0","0","0","0","1","1","0","0","0","0",9000
2099,-0.321989495645782,-0.344235355742444,-0.735722728252124,"0","0","1","0","1","1","1","0","0","0",8700
1740,1.04325468893996,-1.24802795798483,0.583603415388367,"0","0","0","0","1","1","1","0","0","0",95000
307,-0.295967554184263,-0.815779322129776,-0.775931423660114,"0","0","1","0","1","1","1","0","0","0",22000
1863,-0.685086353248374,0.363080593838555,-0.443875916136383,"0","0","0","0","1","1","1","0","0","0",16000
561,2.43391565355789,-0.108463372548778,-0.755116345059181,"0","0","1","0","1","1","1","0","0","0",24000
1103,3.78463596383953,0.598852577032221,-0.266034404838287,"0","0","0","0","1","1","1","0","1","0",23000
2111,-0.393398544307625,0.598852577032221,-0.532796671785431,"0","0","0","0","1","1","1","0","1","0",13000
1329,0.597250715518113,-0.815779322129776,-0.473548772296471,"1","0","0","0","1","1","0","0","0","0",5000
167,-0.0998952510788634,-0.658598000000665,0.712093907301241,"0","1","0","0","1","1","1","0","1","1",36000
1363,-0.574946973108921,-0.815779322129776,-0.655934134208233,"0","0","0","0","1","1","0","0","0","0",6500
864,-0.0666113724652924,1.07039654341955,-0.177113649189239,"0","0","1","0","1","1","1","0","1","0",17000
1362,-0.515035991604494,-0.815779322129776,-0.680929758621181,"0","0","1","0","1","1","0","0","0","0",13000
922,-0.666931510368245,-0.187054033613333,0.712076123150111,"0","0","1","0","1","1","1","0","1","0",75000
1272,-0.468438561545494,0.127308610644889,-0.569076340090243,"0","0","1","0","1","1","0","0","0","0",32000
2043,-0.504748247305754,0.127308610644889,-0.464585560127047,"1","0","0","0","1","1","0","0","0","0",9000
567,-0.487198565854962,-0.815779322129776,-0.508708039080104,"1","0","1","0","1","1","0","0","0","0",15500
1593,-0.708687648992543,0.598852577032221,0.934395796423861,"0","0","1","0","1","1","1","0","1","0",15000
1459,1.3186031392886,0.913215221290442,-0.870704435327379,"0","0","0","0","1","1","1","0","1","0",7500
902,0.299511292283988,-0.894369983194332,-0.132653271364715,"0","0","0","1","1","1","0","1","0","0",20000
941,-0.369797248563457,0.127308610644889,0.667633529476717,"0","1","1","0","1","1","1","0","1","0",14000
72,2.5979144009084,-0.855074652662054,-0.439269820993763,"0","0","0","0","1","1","0","0","0","1",28500
