"estandarizados_duracion_convenio.id","estandarizados_duracion_convenio.antig_anos","estandarizados_duracion_convenio.horas","estandarizados_duracion_convenio.sueldo_diario_integrado","estandarizados_duracion_convenio.tipo_de_abogado","estandarizados_duracion_convenio.trab_base","estandarizados_duracion_convenio.gen","estandarizados_duracion_convenio.reinstalacion_t","estandarizados_duracion_convenio.indem_const_t","estandarizados_duracion_convenio.sal_caidos_t","estandarizados_duracion_convenio.rec_hr_extra","estandarizados_duracion_convenio.rec_20_d_ias_t","estandarizados_duracion_convenio.sarimssinfo","estandarizados_duracion_convenio.cod_imss","estandarizados_duracion_convenio.y"
807,-0.61176896704691,-1.24647407966513,-0.59664682119373,"1","0","1","0","1","1","0","0","1","0",0.93972602739726
810,-0.628937450880988,1.30153309815621,-0.194769351877159,"0","0","0","1","1","1","1","1","1","0",1.16986301369863
812,1.98005893176194,0.125529785315588,2.66706178852742,"0","0","0","1","1","1","1","1","0","0",1.28767123287671
813,1.55452579673158,0.125529785315588,-0.257987098017999,"0","0","0","0","1","1","1","0","1","0",1.93972602739726
814,-0.681056062520153,-0.658472423244824,-0.637331509304172,"0","0","0","1","0","1","0","0","1","0",0.63013698630137
815,0.156520684528081,2.00713508586058,-0.713200391561406,"0","0","0","0","1","1","1","0","1","0",0.786301369863014
816,-0.49465538089302,-0.815272864956907,-0.384441557520245,"0","0","0","0","1","1","1","0","1","0",0.997260273972603
820,-0.245099205161958,2.00713508586058,-0.328165814105941,"1","0","0","0","1","1","0","0","1","0",0.624657534246575
821,-0.617900568416223,-0.815272864956907,-0.440167251538184,"0","0","1","0","1","1","0","0","1","0",1.4958904109589
822,-0.443149929390786,0.125529785315588,-0.0683148923749132,"0","0","0","0","1","1","1","0","1","0",1.65753424657534
824,-0.628324290744056,0.595931110451835,1.59395335066053,"0","1","1","1","0","1","1","0","1","0",1.64657534246575
825,-0.671858660466183,0.125529785315588,-0.450162976775574,"0","0","0","0","1","1","1","0","1","0",0.424657534246575
828,0.777651903239546,-0.188071098108577,-0.0999269266487609,"0","0","0","1","0","1","1","0","1","0",0.876712328767123
833,-0.313159980361339,-0.658472423244824,-0.00445226073488601,"1","0","1","0","1","1","0","0","1","0",0.257534246575342
